user,taxonomy
0xDanielLopez,expert
0xToxin,expert
0xabc0,expert
0xbb00,expert
0xrb,expert
1ZRR4H,expert
4ar0n_5,enthusiast
500mk500,expert
58_158_177_102,expert
604Kuzushi,enthusiast
ANeilan,expert
AP_Zenmashi,bot
AarhusUniCyber,corpo
AdamLangePL,expert
AddressIntel,corpo
Ali_Saifeldin,expert
AlvieriD,expert
AmeyaSathaye,enthusiast
AnciliaInc,corpo
BanPangar,expert
BaoshengbinCumt,expert
BeosinAlert,bot
BforeAi,corpo
BumbledBubble,expert
BushidoToken,expert
CERT_OPL,corpo
CardanoPhishing,bot
CatcherPhishing,bot
Certego_Intel,bot
Computeus7,expert
Coolcarlos17,enthusiast
CryptoShine,expert
CryptointR,expert
CsirtPost,corpo
Cyanotle,enthusiast
Cyb3rMik3,expert
D3LabIT,corpo
Dany74746320,enthusiast
David3141593,expert
Des00464472,enthusiast
DestroyPhish,bot
EKFiddle,corpo
Emmele4,enthusiast
ExploitDB,bot
FF1565166422,enthusiast
Finch39487976,expert
FromPorts,enthusiast
Gi7w0rm,expert
GossiTheDog,enthusiast
HaoZhixiang,expert
HeliosCert,bot
IM_23pds,expert
Iamdeadlyz,enthusiast
InQuest,corpo
ItsReallyNick,expert
JAMESWT_MHT,expert
JCyberSec_,expert
James_inthe_box,enthusiast
Jirehlov,enthusiast
Jup1a,removed
KesaGataMe0,expert
KorbenD_Intel,expert
LukasStefanko,expert
MBThreatIntel,corpo
Ma4j0r,expert
Malwar3Ninja,corpo
MalwarePotato,enthusiast
ManuelPintag,enthusiast
MarathiDivya,corpo
MassinissaDC,enthusiast
Max_Mal_,expert
MsftSecIntel,corpo
NaisuBanana,expert
Necio_news,corpo
NoTell_inc,corpo
PROOFCTI,corpo
PeckShieldAlert,corpo
PhantomXSec,expert
PhisScan,bot
PhishStats,bot
PhisherOfMan,bot
PhishingH,enthusiast
PhishingHunter_,bot
Quandadon2000,removed
Rafi__X,enthusiast
RakeshKrish12,expert
RdpSnitch,bot
ReBensk,expert
RedDrip7,corpo
RedPacketSec,expert
RkFURUgK,expert
SGEmail2,enthusiast
Sabir_Shah_,expert
ScumBots,expert
SeamlessSam,corpo
SecInfo16,enthusiast
SecSome,enthusiast
SecuritySnacks,corpo
SeguInfo,expert
Seifreed,removed
SentinelOne,corpo
Sentry_23,expert
SethKingHi,expert
ShadowChasing1,expert
Slvlombardo,expert
SocEngineerHu,corpo
SquiblydooBlog,expert
StopMalvertisin,expert
TeamDreier,expert
TheCyberExpress,corpo
TheDFIRReport,corpo
TheGhostJapan1,expert
Threatlabz,corpo
ULTRAFRAUD,expert
UnitC0rn,enthusiast
Vanessa59367032,removed
ViriBack,expert
WhichbufferArda,expert
__0XYC__,expert
_bettercyber_,corpo
_consolelog,enthusiast
_hyperv,removed
_icebre4ker_,expert
_mattata,expert
_tweedge,expert
abuse_ch,corpo
abyssdomainxprt,expert
akroasis5150,expert
amijmad,expert
b3ard3dav3ng3r,expert
bad_packets,corpo
bagas_me,enthusiast
bakabanker2,enthusiast
bigmacjpg,expert
bryceabdo,expert
bunnymaid,enthusiast
c9lab_soc,corpo
c_APT_ure,expert
crep1x,expert
cyber__sloth,expert
cyberwar_15,corpo
d1savow3d,expert
defenceability,expert
dnstwist,bot
drb_ra,bot
drok3r,expert
dubstard,enthusiast
earegun,expert
ecarlesi,expert
embee_research,expert
entdark_,expert
faisalusuf,expert
fr0s7_,enthusiast
fr33sys,expert
h2jazi,expert
harugasumi,enthusiast
harushentian,enthusiast
idclickthat,expert
ih8do0rb3ll,removed
iiyonite,expert
illegalFawn,expert
infosectdk,expert
infowaropcenter,corpo
jaydinbas,expert
jonathandata00,enthusiast
joshjaggard,enthusiast
jstrosch,expert
k3yp0d,expert
kienbigmummy,expert
kjfriedo,enthusiast
kubotaa3,bot
kyleehmke,expert
l205306,enthusiast
m0br3v,expert
malhunt3rr,expert
malware_traffic,corpo
malwarelabnet,corpo
malwrhunterteam,expert
micham,expert
midnight_comms,enthusiast
migueljmnez,expert
milannshrestga,expert
mojoesec,expert
momika233,expert
moshsrv,expert
neonprimetime,expert
nevaluoto,expert
ni_fi_70,expert
noname_sec,expert
nosecurething,expert
notajungman,enthusiast
nuria_imeq,expert
onecert_ir,corpo
optional_is,enthusiast
ozuma5119,expert
pbisialski,expert
peterkruse,expert
petikvx,expert
petrovic082,enthusiast
phage_nz,expert
phishunt_io,bot
pingineer_jp,bot
pmelson,expert
pmmkowalczyk,expert
point_d_ironie,expert
pollo290987,enthusiast
pr0xylife,expert
premkumar017254,enthusiast
ps66uk,expert
quicksandphish,bot
r3dbU7z,enthusiast
redeye_1993,removed
reecdeep,expert
romonlyht,expert
satontonton,expert
securitydoggo,expert
sh1shk0va,expert
shinobe179,expert
silentpush_labs,corpo
siri_urz,expert
skept1kal,expert
smica83,expert
souiten,expert
splinter_code,expert
stoerchl,expert
sugimu_sec,expert
suyog41,expert
sysk1ll3r,expert
taku888infinity,expert
tdatwja,expert
teamcymru_S2,corpo
threatinsight,corpo
threatosint,removed
tosscoinwitcher,expert
unmaskparasites,expert
uslss_etr,expert
v4ensics,corpo
x3ph1,expert
xn0mas,expert
yrevichus,expert
yvesago,expert
